No	ai0
0	0.0001548715
1	0.0001549088
2	0.0001550391
3	0.0001550168
4	0.0001549870
5	0.0001549833
6	0.0001550391
7	0.0001549870
8	0.0001549944
9	0.0001549833
10	0.0001549572
11	0.0001549088
12	0.0001549758
13	0.0001549684
14	0.0001550242
15	0.0001549721
16	0.0001549125
17	0.0001548864
18	0.0001549684
19	0.0001548529
20	0.0001549646
21	0.0001549572
22	0.0001549125
23	0.0001548976
24	0.0001549348
25	0.0001550280
26	0.0001549497
27	0.0001548715
28	0.0001548715
29	0.0001549311
30	0.0001548193
31	0.0001549386
32	0.0001549460
33	0.0001550242
34	0.0001549944
35	0.0001550131
36	0.0001549684
37	0.0001549758
38	0.0001549013
39	0.0001549944
40	0.0001549684
41	0.0001550131
42	0.0001549758
43	0.0001548678
44	0.0001548417
45	0.0001550317
46	0.0001550131
47	0.0001550242
48	0.0001549199
49	0.0001549944
50	0.0001548939
51	0.0001548939
52	0.0001550131
53	0.0001548715
54	0.0001548901
55	0.0001549758
56	0.0001549795
57	0.0001550317
58	0.0001549237
59	0.0001549870
60	0.0001549572
61	0.0001549535
62	0.0001550131
63	0.0001549646
64	0.0001549870
65	0.0001549795
66	0.0001549013
67	0.0001549199
68	0.0001549758
69	0.0001549609
70	0.0001549721
71	0.0001549348
72	0.0001549870
73	0.0001550242
74	0.0001548678
75	0.0001550056
76	0.0001549199
77	0.0001549833
78	0.0001549944
79	0.0001550019
80	0.0001549237
81	0.0001549497
82	0.0001549982
83	0.0001549348
84	0.0001549311
85	0.0001550168
86	0.0001549944
87	0.0001549013
88	0.0001550391
89	0.0001549721
90	0.0001550168
91	0.0001549088
92	0.0001550354
93	0.0001549721
94	0.0001549460
95	0.0001549944
96	0.0001549386
97	0.0001549795
98	0.0001549572
99	0.0001550578
100	0.0001549721
101	0.0001549870
102	0.0001549311
103	0.0001550019
104	0.0001550466
105	0.0001549907
106	0.0001548641
107	0.0001549646
108	0.0001549386
109	0.0001549758
110	0.0001549274
111	0.0001549050
112	0.0001549944
113	0.0001549572
114	0.0001549907
115	0.0001550019
116	0.0001549162
117	0.0001550093
118	0.0001549684
119	0.0001549348
120	0.0001549088
121	0.0001549497
122	0.0001549535
123	0.0001549646
124	0.0001548790
125	0.0001550168
126	0.0001549572
127	0.0001548641
128	0.0001550317
129	0.0001550056
130	0.0001550540
131	0.0001550317
132	0.0001548790
133	0.0001550168
134	0.0001549199
135	0.0001549535
136	0.0001549162
137	0.0001550056
138	0.0001549386
139	0.0001550429
140	0.0001548752
141	0.0001549795
142	0.0001549348
143	0.0001550056
144	0.0001549684
145	0.0001549125
146	0.0001550466
147	0.0001549721
148	0.0001550280
149	0.0001549237
150	0.0001548864
151	0.0001549423
152	0.0001548641
153	0.0001551285
154	0.0001550093
155	0.0001549497
156	0.0001549423
157	0.0001548901
158	0.0001549050
159	0.0001689978
160	0.0001729801
161	0.0001727939
162	0.0001726076
163	0.0001728162
164	0.0001727976
165	0.0001727939
166	0.0001727976
167	0.0001727156
168	0.0001727417
169	0.0001727566
170	0.0001727343
171	0.0001728498
172	0.0001727082
173	0.0001726858
174	0.0001728125
175	0.0001728833
176	0.0001727119
177	0.0001728460
178	0.0001728572
179	0.0001727603
180	0.0001729243
181	0.0001728647
182	0.0001727156
183	0.0001727492
184	0.0001727492
185	0.0001728386
186	0.0001727715
187	0.0001727827
188	0.0001727827
189	0.0001727566
190	0.0001728721
191	0.0001728349
192	0.0001727492
193	0.0001727790
194	0.0001727417
195	0.0001727566
196	0.0001727790
197	0.0001727156
198	0.0001727305
199	0.0001727603
200	0.0001728237
201	0.0001728051
202	0.0001728572
203	0.0001728200
204	0.0001728125
205	0.0001726933
206	0.0001727939
207	0.0001727603
208	0.0001728349
209	0.0001728088
210	0.0001728051
211	0.0001727939
212	0.0001728609
213	0.0001728088
214	0.0001728237
215	0.0001728460
216	0.0001727678
217	0.0001727827
218	0.0001728647
219	0.0001728647
220	0.0001727380
221	0.0001727156
222	0.0001728125
223	0.0001728870
224	0.0001729056
225	0.0001728088
226	0.0001727082
227	0.0001727231
228	0.0001728349
229	0.0001727678
230	0.0001727492
231	0.0001727007
232	0.0001727939
233	0.0001727827
234	0.0001728088
235	0.0001728684
236	0.0001727380
237	0.0001728460
238	0.0001728200
239	0.0001728088
240	0.0001728609
241	0.0001726970
242	0.0001728013
243	0.0001728311
244	0.0001728460
245	0.0001728162
246	0.0001727305
247	0.0001727603
248	0.0001727976
249	0.0001729392
250	0.0001728162
251	0.0001728162
252	0.0001728498
253	0.0001727082
254	0.0001728460
255	0.0001728013
256	0.0001727864
257	0.0001727715
258	0.0001727231
259	0.0001727119
260	0.0001727231
261	0.0001728051
262	0.0001728423
263	0.0001727566
264	0.0001727641
265	0.0001728349
266	0.0001729876
267	0.0001728498
268	0.0001728200
269	0.0001727194
270	0.0001728200
271	0.0001728833
272	0.0001727119
273	0.0001727343
274	0.0001727529
275	0.0001728349
276	0.0001727902
277	0.0001729131
278	0.0001727678
279	0.0001728013
280	0.0001727790
281	0.0001728162
282	0.0001727678
283	0.0001727119
284	0.0001727417
285	0.0001728423
286	0.0001726449
287	0.0001727678
288	0.0001728349
289	0.0001728274
290	0.0001727492
291	0.0001728088
292	0.0001727454
293	0.0001729094
294	0.0001728684
295	0.0001728237
296	0.0001727715
297	0.0001727864
298	0.0001728796
299	0.0001729280
300	0.0001728125
301	0.0001727566
302	0.0001728125
303	0.0001728423
304	0.0001728833
305	0.0001727305
306	0.0001728311
307	0.0001728237
308	0.0001728051
309	0.0001728200
310	0.0001727566
311	0.0001726151
312	0.0001727343
313	0.0001727417
314	0.0001729056
315	0.0001729429
316	0.0001728535
317	0.0001727566
318	0.0001727976
319	0.0001728647
320	0.0001728274
321	0.0001727715
322	0.0001727715
323	0.0001727082
324	0.0001727231
325	0.0001728088
326	0.0001728609
327	0.0001728013
328	0.0001727343
329	0.0001727454
330	0.0001728796
331	0.0001728460
332	0.0001728200
333	0.0001727827
334	0.0001728051
335	0.0001728311
336	0.0001728684
337	0.0001728460
338	0.0001727715
339	0.0001728423
340	0.0001728349
341	0.0001728460
342	0.0001728237
343	0.0001729354
344	0.0001727864
345	0.0001727752
346	0.0001728721
347	0.0001728423
348	0.0001727641
349	0.0001728423
350	0.0001727715
351	0.0001727231
352	0.0001727641
353	0.0001727641
354	0.0001727566
355	0.0001727231
356	0.0001727790
357	0.0001728423
358	0.0001729168
359	0.0001727492
360	0.0001727492
361	0.0001727045
362	0.0001728125
363	0.0001728200
364	0.0001727529
365	0.0001726970
366	0.0001727231
367	0.0001728051
368	0.0001727939
369	0.0001727566
370	0.0001727827
371	0.0001727603
372	0.0001728125
373	0.0001728423
374	0.0001728051
375	0.0001728460
376	0.0001727380
377	0.0001727641
378	0.0001728460
379	0.0001728758
380	0.0001728349
381	0.0001727864
382	0.0001727231
383	0.0001726747
384	0.0001728907
385	0.0001729652
386	0.0001727902
387	0.0001727231
388	0.0001727715
389	0.0001728535
390	0.0001729317
391	0.0001727641
392	0.0001728274
393	0.0001727119
394	0.0001728274
395	0.0001727939
396	0.0001727343
397	0.0001727715
398	0.0001728200
399	0.0001728423
400	0.0001727939
401	0.0001729019
402	0.0001727566
403	0.0001727045
404	0.0001727827
405	0.0001728684
406	0.0001728311
407	0.0001728945
408	0.0001727976
409	0.0001727678
410	0.0001728162
411	0.0001728460
412	0.0001728982
413	0.0001727715
414	0.0001727715
415	0.0001727492
416	0.0001727939
417	0.0001728796
418	0.0001727156
419	0.0001728013
420	0.0001726896
421	0.0001728572
422	0.0001728125
423	0.0001728982
424	0.0001727305
425	0.0001727454
426	0.0001728200
427	0.0001728945
428	0.0001729466
429	0.0001727492
430	0.0001726486
431	0.0001728274
432	0.0001729168
433	0.0001728647
434	0.0001728237
435	0.0001727566
436	0.0001727529
437	0.0001727939
438	0.0001728907
439	0.0001728870
440	0.0001727715
441	0.0001727417
442	0.0001727976
443	0.0001729243
444	0.0001728237
445	0.0001727715
446	0.0001726523
447	0.0001726560
448	0.0001728833
449	0.0001728609
450	0.0001727902
451	0.0001727231
452	0.0001727976
453	0.0001727976
454	0.0001727566
455	0.0001728423
456	0.0001727045
457	0.0001728311
458	0.0001728200
459	0.0001728647
460	0.0001728647
461	0.0001727417
462	0.0001728125
463	0.0001727939
464	0.0001728498
465	0.0001728609
466	0.0001727566
467	0.0001727417
468	0.0001728870
469	0.0001729392
470	0.0001728237
471	0.0001728013
472	0.0001727194
473	0.0001727939
474	0.0001728125
475	0.0001727902
476	0.0001728758
477	0.0001727715
478	0.0001727976
479	0.0001728162
480	0.0001728423
481	0.0001728945
482	0.0001727454
483	0.0001727305
484	0.0001728460
485	0.0001727417
486	0.0001728982
487	0.0001728088
488	0.0001728013
489	0.0001728051
490	0.0001727827
491	0.0001730174
492	0.0001728386
493	0.0001727752
494	0.0001727343
495	0.0001727790
496	0.0001728311
497	0.0001728013
498	0.0001727417
499	0.0001727939
500	0.0001727715
501	0.0001727790
502	0.0001728721
503	0.0001729354
504	0.0001727045
505	0.0001728200
506	0.0001727902
507	0.0001728907
