No	ai0
0	0.0002810210
1	0.0002806410
2	0.0002811775
3	0.0002808497
4	0.0002807975
5	0.0002805442
6	0.0002808795
7	0.0002809465
8	0.0002809465
9	0.0002811775
10	0.0002807938
11	0.0002809428
12	0.0002811328
13	0.0002808981
14	0.0002806336
15	0.0002806261
16	0.0002808497
17	0.0002812632
18	0.0002806448
19	0.0002806001
20	0.0002806597
21	0.0002807938
22	0.0002806001
23	0.0002805852
24	0.0002808534
25	0.0002813600
26	0.0002806485
27	0.0002807789
28	0.0002805405
29	0.0002807640
30	0.0002808757
31	0.0002805405
32	0.0002806373
33	0.0002805889
34	0.0002807416
35	0.0002807826
36	0.0002805703
37	0.0002807453
38	0.0002807453
39	0.0002804436
40	0.0002805665
41	0.0002804957
42	0.0002807565
43	0.0002801716
44	0.0002804063
45	0.0002806150
46	0.0002806522
47	0.0002806150
48	0.0002804771
49	0.0002802946
50	0.0002804659
51	0.0002805591
52	0.0002802685
53	0.0002804399
54	0.0002802797
55	0.0002802387
56	0.0002801866
57	0.0002803579
58	0.0002804771
59	0.0002804585
60	0.0002803728
61	0.0002804287
62	0.0002800599
63	0.0002803132
64	0.0002803356
65	0.0002801977
66	0.0002801009
67	0.0002801009
68	0.0002804473
69	0.0002802871
70	0.0002802126
71	0.0002800860
72	0.0002800562
73	0.0002802462
74	0.0002802760
75	0.0002803393
76	0.0002800413
77	0.0002801866
78	0.0002803393
79	0.0002800971
80	0.0002801567
81	0.0002802536
82	0.0002801381
83	0.0002801120
84	0.0002800264
85	0.0002800189
86	0.0002802275
87	0.0002800077
88	0.0002802238
89	0.0002798215
90	0.0002802648
91	0.0002802462
92	0.0002802536
93	0.0002800934
94	0.0002800338
95	0.0002800599
96	0.0002801195
97	0.0002798699
98	0.0002798364
99	0.0002801381
100	0.0002799779
101	0.0002798997
102	0.0002798662
103	0.0002801940
104	0.0002796352
105	0.0002801456
106	0.0002798177
107	0.0002798401
108	0.0002798401
109	0.0002798774
110	0.0002799854
111	0.0002800040
112	0.0002799258
113	0.0002798736
114	0.0002800971
115	0.0002798550
116	0.0002800338
117	0.0002798475
118	0.0002797768
119	0.0002796836
120	0.0002795421
121	0.0002800636
122	0.0002797693
123	0.0002796650
124	0.0002795905
125	0.0002798438
126	0.0002798960
127	0.0002797432
128	0.0002797432
129	0.0002797656
130	0.0002796613
131	0.0002798140
132	0.0002796799
133	0.0002795309
134	0.0002797097
135	0.0002796650
136	0.0002796985
137	0.0002796315
138	0.0002797134
139	0.0002795458
140	0.0002796874
141	0.0002796725
142	0.0002794415
143	0.0002795384
144	0.0002795570
145	0.0002795868
146	0.0002794676
147	0.0002797209
148	0.0002795160
149	0.0002796129
150	0.0002795682
151	0.0002794601
152	0.0002795868
153	0.0002795085
154	0.0002793409
155	0.0002794601
156	0.0002794527
157	0.0002794974
158	0.0002792962
159	0.0002794117
160	0.0002793409
161	0.0002792217
162	0.0002793968
163	0.0002794117
164	0.0002793595
165	0.0002795905
166	0.0002794229
167	0.0002794936
168	0.0002795533
169	0.0002795495
170	0.0002796762
171	0.0002793670
172	0.0002794825
173	0.0002793186
174	0.0002794601
175	0.0002794601
176	0.0002793148
177	0.0002794080
178	0.0002794899
179	0.0002792850
180	0.0002790801
181	0.0002795272
182	0.0002793260
183	0.0002791472
184	0.0002792590
185	0.0002793931
186	0.0002793372
187	0.0002790503
188	0.0002793484
189	0.0002791956
190	0.0002793670
191	0.0002791248
192	0.0002791323
193	0.0002792925
194	0.0002790913
195	0.0002790913
196	0.0002792254
197	0.0002790466
198	0.0002784394
199	0.0002790764
200	0.0002791770
201	0.0002793037
202	0.0002792664
203	0.0002790988
204	0.0002791844
205	0.0002790988
206	0.0002790466
207	0.0002789907
208	0.0002790876
209	0.0002791099
210	0.0002790503
211	0.0002793111
212	0.0002788529
213	0.0002790839
214	0.0002789833
215	0.0002790354
216	0.0002789684
217	0.0002792105
218	0.0002789982
219	0.0002788678
220	0.0002790429
221	0.0002790466
222	0.0002788045
223	0.0002789833
224	0.0002788752
225	0.0002789349
226	0.0002788045
227	0.0002789386
228	0.0002789125
229	0.0002786592
230	0.0002788790
231	0.0002790429
232	0.0002788678
233	0.0002787672
234	0.0002787598
235	0.0002789758
236	0.0002788380
237	0.0002789535
238	0.0002787374
239	0.0002787076
240	0.0002788119
241	0.0002788976
242	0.0002787523
243	0.0002788641
244	0.0002788156
245	0.0002789498
246	0.0002791025
247	0.0002791174
248	0.0002864264
249	0.0002854169
250	0.0002841354
251	0.0002822615
252	0.0002819635
253	0.0002966337
254	0.0002795868
255	0.0002785549
256	0.0002786927
257	0.0002784990
258	0.0002787449
259	0.0002785213
260	0.0002785251
261	0.0002786666
262	0.0002786890
263	0.0002785437
264	0.0002786145
265	0.0002785213
266	0.0002783127
267	0.0002783276
268	0.0002781265
269	0.0002756827
270	0.0002710149
271	0.0002676658
272	0.0002610684
273	0.0002608039
274	0.0002606176
275	0.0002607480
276	0.0002606921
277	0.0002605990
278	0.0002605766
279	0.0002607182
280	0.0002606809
281	0.0002604909
282	0.0002606362
283	0.0002607517
284	0.0002604574
285	0.0002607107
286	0.0002607033
287	0.0002608039
288	0.0002606251
289	0.0002606064
290	0.0002606362
291	0.0002605096
292	0.0002604686
293	0.0002605207
294	0.0002605543
295	0.0002605133
296	0.0002605394
297	0.0002605952
298	0.0002608039
299	0.0002604872
300	0.0002605133
301	0.0002605058
302	0.0002604611
303	0.0002604835
304	0.0002605617
305	0.0002605170
306	0.0002605729
307	0.0002603866
308	0.0002605431
309	0.0002605729
310	0.0002632998
311	0.0002610870
312	0.0002636910
313	0.0002634451
314	0.0002668575
315	0.0002764538
316	0.0002786182
317	0.0002776459
318	0.0002782792
319	0.0002771430
320	0.0002763719
321	0.0002756715
322	0.0002768487
323	0.0002774261
324	0.0002786704
325	0.0002814718
326	0.0002780371
327	0.0002768450
328	0.0002782680
329	0.0002782159
330	0.0002785064
331	0.0002763942
332	0.0002767481
333	0.0002780706
334	0.0002772212
335	0.0002785139
336	0.0002780482
337	0.0002786033
338	0.0002778247
339	0.0002784208
340	0.0002776943
341	0.0002772063
342	0.0002789796
343	0.0002773553
344	0.0002744831
345	0.0002755262
346	0.0002783314
347	0.0002775304
348	0.0002791844
349	0.0002752878
350	0.0002768822
351	0.0002802164
352	0.0002776124
353	0.0002765618
354	0.0002784804
355	0.0002767518
356	0.0002801083
357	0.0002775937
358	0.0002775416
359	0.0002786070
360	0.0002788231
361	0.0002785735
362	0.0002748743
363	0.0002768226
364	0.0002792925
365	0.0002777130
366	0.0002791844
367	0.0002790876
368	0.0002777949
369	0.0002784915
370	0.0002750382
371	0.0002754629
372	0.0002744869
373	0.0002750382
374	0.0002763495
375	0.0002759956
376	0.0002768487
377	0.0002805777
378	0.0002742186
379	0.0002760552
380	0.0002757423
381	0.0002750606
382	0.0002787672
383	0.0002777837
384	0.0002772845
385	0.0002785027
386	0.0002735332
387	0.0002739839
388	0.0002750978
389	0.0002736859
390	0.0002752654
391	0.0002763681
392	0.0002753660
393	0.0002773106
394	0.0002764873
395	0.0002762266
396	0.0002776832
397	0.0002761185
398	0.0002729409
399	0.0002789088
400	0.0002743341
401	0.0002745167
402	0.0002764948
403	0.0002765022
404	0.0002772771
405	0.0002762638
406	0.0002756901
407	0.0002743118
408	0.0002747737
409	0.0002772845
410	0.0002766028
411	0.0002753139
412	0.0002764538
413	0.0002751686
414	0.0002761781
415	0.0002776720
416	0.0002751164
417	0.0002749786
418	0.0002763048
419	0.0002749600
420	0.0002763756
421	0.0002765134
422	0.0002746657
423	0.0002751909
424	0.0002772398
425	0.0002783872
426	0.0002727471
427	0.0002766140
428	0.0002758578
429	0.0002756864
430	0.0002767779
431	0.0002759360
432	0.0002742410
433	0.0002758503
434	0.0002749339
435	0.0002739839
436	0.0002742596
437	0.0002744384
438	0.0002773851
439	0.0002770573
440	0.0002748482
441	0.0002755448
442	0.0002745129
443	0.0002764203
444	0.0002775341
445	0.0002759434
446	0.0002737902
447	0.0002751351
448	0.0002759583
449	0.0002751574
450	0.0002759472
451	0.0002745651
452	0.0002742671
453	0.0002749600
454	0.0002742745
455	0.0002755076
456	0.0002738238
457	0.0002756044
458	0.0002747066
459	0.0002734922
460	0.0002744682
461	0.0002749153
462	0.0002762787
463	0.0002736040
464	0.0002733097
465	0.0002756752
466	0.0002771542
467	0.0002758987
468	0.0002745055
469	0.0002744794
470	0.0002744235
471	0.0002754219
472	0.0002746247
473	0.0002753809
474	0.0002729744
475	0.0002729036
476	0.0002738573
477	0.0002748445
478	0.0002725311
479	0.0002752617
480	0.0002754219
481	0.0002738722
482	0.0002746992
483	0.0002748557
484	0.0002728552
485	0.0002731979
486	0.0002746433
487	0.0002743825
488	0.0002742484
489	0.0002744124
490	0.0002752841
491	0.0002738014
492	0.0002722927
493	0.0002737679
494	0.0002748631
495	0.0002754256
496	0.0002728738
497	0.0002735034
498	0.0002737381
499	0.0002751313
500	0.0002741292
501	0.0002743043
502	0.0002734214
503	0.0002735816
504	0.0002750345
505	0.0002727918
506	0.0002735034
507	0.0002726428
508	0.0002742969
509	0.0002749376
510	0.0002742931
511	0.0002737157
512	0.0002723895
513	0.0002719760
514	0.0002750941
515	0.0002731234
516	0.0002727620
517	0.0002736040
518	0.0002719388
519	0.0002720803
520	0.0002731644
521	0.0002723113
522	0.0002748035
523	0.0002728254
524	0.0002748072
525	0.0002727769
526	0.0002731048
527	0.0002740547
528	0.0002751462
529	0.0002746657
530	0.0002732687
531	0.0002737157
532	0.0002721138
533	0.0002721436
534	0.0002727881
535	0.0002749153
536	0.0002722405
537	0.0002712570
538	0.0002731718
539	0.0002733432
540	0.0002734028
541	0.0002724342
542	0.0002735444
543	0.0002741590
544	0.0002743490
545	0.0002736226
546	0.0002746917
547	0.0002734400
548	0.0002738983
549	0.0002722554
550	0.0002740026
551	0.0002734885
552	0.0002719723
553	0.0002719537
554	0.0002722517
555	0.0002721511
556	0.0002721027
557	0.0002727546
558	0.0002734848
559	0.0002728999
560	0.0002719313
561	0.0002748035
562	0.0002731458
563	0.0002723113
564	0.0002716594
565	0.0002726913
566	0.0002743155
567	0.0002730191
568	0.0002739132
569	0.0002735742
570	0.0002723187
571	0.0002739243
572	0.0002722442
573	0.0002728440
574	0.0002740137
575	0.0002740622
576	0.0002721623
577	0.0002714694
578	0.0002729669
579	0.0002731420
580	0.0002730005
581	0.0002740435
582	0.0002721884
583	0.0002725050
584	0.0002718568
585	0.0002718680
586	0.0002718270
587	0.0002714321
588	0.0002714209
589	0.0002724528
590	0.0002735742
591	0.0002721436
592	0.0002722442
593	0.0002719090
594	0.0002728291
595	0.0002722852
596	0.0002713688
597	0.0002717078
598	0.0002722480
599	0.0002733842
600	0.0002718307
601	0.0002719648
602	0.0002719574
603	0.0002722889
604	0.0002723970
605	0.0002723336
606	0.0002714507
607	0.0002716519
608	0.0002704337
609	0.0002726019
610	0.0002736561
611	0.0002719797
612	0.0002718866
613	0.0002734326
614	0.0002729818
615	0.0002729260
616	0.0002731793
617	0.0002719574
618	0.0002715215
619	0.0002715402
620	0.0002719015
621	0.0002716370
622	0.0002726317
623	0.0002722815
624	0.0002722033
625	0.0002720654
626	0.0002716519
627	0.0002716556
628	0.0002706386
629	0.0002718195
630	0.0002709255
631	0.0002718531
632	0.0002726019
633	0.0002715364
634	0.0002706535
