No	ai0
0	0.0002369844
1	0.0002368689
2	0.0002370142
3	0.0002369434
4	0.0002369248
5	0.0002368875
6	0.0002370328
7	0.0002370477
8	0.0002370179
9	0.0002369620
10	0.0002369583
11	0.0002369248
12	0.0002369359
13	0.0002369732
14	0.0002371408
15	0.0002369881
16	0.0002368949
17	0.0002369322
18	0.0002370142
19	0.0002371073
20	0.0002370216
21	0.0002369210
22	0.0002369844
23	0.0002368689
24	0.0002370700
25	0.0002368540
26	0.0002369769
27	0.0002369359
28	0.0002368726
29	0.0002369993
30	0.0002370253
31	0.0002368763
32	0.0002368055
33	0.0002369844
34	0.0002370961
35	0.0002369918
36	0.0002368391
37	0.0002368204
38	0.0002368540
39	0.0002369769
40	0.0002369657
41	0.0002368428
42	0.0002368838
43	0.0002369993
44	0.0002370216
45	0.0002371892
46	0.0002369210
47	0.0002368987
48	0.0002368763
49	0.0002368912
50	0.0002369061
51	0.0002369136
52	0.0002369136
53	0.0002368465
54	0.0002366230
55	0.0002368614
56	0.0002368055
57	0.0002368540
58	0.0002368800
59	0.0002368651
60	0.0002369359
61	0.0002367981
62	0.0002367944
63	0.0002368614
64	0.0002367087
65	0.0002368838
66	0.0002368279
67	0.0002367087
68	0.0002366975
69	0.0002368428
70	0.0002368204
71	0.0002368800
72	0.0002367087
73	0.0002367832
74	0.0002367385
75	0.0002367459
76	0.0002369173
77	0.0002368502
78	0.0002367683
79	0.0002366677
80	0.0002367534
81	0.0002368540
82	0.0002369248
83	0.0002367348
84	0.0002367124
85	0.0002367124
86	0.0002369657
87	0.0002367608
88	0.0002367310
89	0.0002367012
90	0.0002366714
91	0.0002367795
92	0.0002367012
93	0.0002367683
94	0.0002367012
95	0.0002366528
96	0.0002367906
97	0.0002367757
98	0.0002367795
99	0.0002366603
100	0.0002366081
101	0.0002366677
102	0.0002366379
103	0.0002367161
104	0.0002367422
105	0.0002367534
106	0.0002367795
107	0.0002366379
108	0.0002367236
109	0.0002366156
110	0.0002366640
111	0.0002366901
112	0.0002366789
113	0.0002367161
114	0.0002366416
115	0.0002366267
116	0.0002367310
117	0.0002368577
118	0.0002366714
119	0.0002367199
120	0.0002366975
121	0.0002366863
