No	ai0
0	-0.0001536422
1	-0.0001536161
2	-0.0001537502
3	-0.0001537055
4	-0.0001536049
5	-0.0001536496
6	-0.0001536869
7	-0.0001536273
8	-0.0001536049
9	-0.0001536012
10	-0.0001535304
11	-0.0001535863
12	-0.0001536571
13	-0.0001535937
14	-0.0001535527
15	-0.0001536831
16	-0.0001536831
17	-0.0001536645
18	-0.0001536198
19	-0.0001536496
20	-0.0001537204
21	-0.0001536533
22	-0.0001536310
23	-0.0001536906
24	-0.0001536086
25	-0.0001536794
26	-0.0001536943
27	-0.0001536124
28	-0.0001537129
29	-0.0001536347
30	-0.0001535677
31	-0.0001535378
32	-0.0001535826
33	-0.0001536086
34	-0.0001536720
35	-0.0001535788
36	-0.0001535192
37	-0.0001536682
38	-0.0001535863
39	-0.0001535043
40	-0.0001535975
41	-0.0001536235
42	-0.0001536198
43	-0.0001536235
44	-0.0001536235
45	-0.0001536794
46	-0.0001536869
47	-0.0001536757
48	-0.0001536235
49	-0.0001537055
50	-0.0001535751
51	-0.0001535863
52	-0.0001537092
53	-0.0001536161
54	-0.0001536235
55	-0.0001535714
56	-0.0001536384
57	-0.0001536422
58	-0.0001536384
59	-0.0001535863
60	-0.0001536645
61	-0.0001536496
62	-0.0001536980
63	-0.0001536086
64	-0.0001536831
65	-0.0001535341
66	-0.0001538470
67	-0.0001537949
68	-0.0001535192
69	-0.0001536235
70	-0.0001535937
71	-0.0001536273
72	-0.0001536794
73	-0.0001536273
74	-0.0001537092
75	-0.0001537167
76	-0.0001536720
77	-0.0001536124
78	-0.0001536831
79	-0.0001535751
80	-0.0001535341
81	-0.0001536422
82	-0.0001536943
83	-0.0001536198
84	-0.0001536571
85	-0.0001535714
86	-0.0001536235
87	-0.0001536273
88	-0.0001536124
89	-0.0001536794
90	-0.0001536571
91	-0.0001535863
92	-0.0001536347
93	-0.0001536533
94	-0.0001536645
95	-0.0001536496
96	-0.0001535863
97	-0.0001536645
98	-0.0001535937
99	-0.0001536794
100	-0.0001537092
101	-0.0001536980
102	-0.0001535453
103	-0.0001535788
104	-0.0001536422
105	-0.0001536161
106	-0.0001536384
107	-0.0001536980
108	-0.0001535565
109	-0.0001537353
110	-0.0001536794
111	-0.0001535565
112	-0.0001537018
113	-0.0001535565
114	-0.0001535788
115	-0.0001535527
116	-0.0001535416
117	-0.0001536124
118	-0.0001660995
119	-0.0001633726
120	-0.0001634881
121	-0.0001634136
122	-0.0001632646
123	-0.0001633801
124	-0.0001633987
125	-0.0001633801
126	-0.0001633763
127	-0.0001632683
128	-0.0001634024
129	-0.0001633614
130	-0.0001633838
131	-0.0001633056
132	-0.0001632944
133	-0.0001633950
134	-0.0001634061
135	-0.0001632869
136	-0.0001633726
137	-0.0001633801
138	-0.0001634546
139	-0.0001632907
140	-0.0001633987
141	-0.0001633726
142	-0.0001633167
143	-0.0001634136
