No	ai0
0	0.0001558028
1	0.0001556352
2	0.0001557097
3	0.0001556985
4	0.0001558103
5	0.0001557432
6	0.0001558662
7	0.0001557656
8	0.0001557171
9	0.0001557954
10	0.0001556054
11	0.0001557916
12	0.0001557469
13	0.0001556426
14	0.0001556762
15	0.0001557544
16	0.0001558103
17	0.0001557581
18	0.0001556762
19	0.0001556799
20	0.0001556985
21	0.0001556985
22	0.0001556873
23	0.0001557581
24	0.0001557097
25	0.0001557171
26	0.0001557209
27	0.0001555942
28	0.0001557805
29	0.0001559369
30	0.0001557358
31	0.0001556613
32	0.0001558103
33	0.0001557656
34	0.0001556724
35	0.0001556426
36	0.0001558513
37	0.0001556315
38	0.0001556426
39	0.0001558550
40	0.0001557693
41	0.0001556911
42	0.0001557283
43	0.0001557060
44	0.0001557171
45	0.0001558103
46	0.0001557097
47	0.0001557060
48	0.0001557283
49	0.0001557693
50	0.0001558252
51	0.0001557730
52	0.0001556575
53	0.0001557954
54	0.0001558401
55	0.0001557805
56	0.0001557358
57	0.0001557767
58	0.0001557618
59	0.0001557060
60	0.0001556724
61	0.0001556501
62	0.0001557134
63	0.0001557916
64	0.0001558624
65	0.0001556464
66	0.0001557432
67	0.0001556724
68	0.0001557469
69	0.0001556836
70	0.0001557134
71	0.0001557209
72	0.0001557432
73	0.0001557916
74	0.0001556873
75	0.0001557767
76	0.0001562424
77	0.0001556128
78	0.0001555644
79	0.0001556128
80	0.0001557730
81	0.0001556687
82	0.0001558066
83	0.0001555234
84	0.0001557544
85	0.0001556650
86	0.0001557283
87	0.0001556352
88	0.0001557395
89	0.0001557581
90	0.0001557209
91	0.0001557358
92	0.0001556687
93	0.0001558624
94	0.0001557581
95	0.0001557171
96	0.0001557954
97	0.0001556538
98	0.0001557544
99	0.0001556762
100	0.0001556575
101	0.0001557209
102	0.0001558326
103	0.0001557022
104	0.0001558364
105	0.0001557507
106	0.0001558215
107	0.0001557283
108	0.0001556948
109	0.0001557060
110	0.0001557209
111	0.0001556873
112	0.0001558475
113	0.0001557060
114	0.0001555793
115	0.0001557693
116	0.0001556203
117	0.0001557618
118	0.0001556203
119	0.0001557171
120	0.0001557358
121	0.0001557171
122	0.0001557656
123	0.0001557581
124	0.0001557395
125	0.0001557395
126	0.0001558364
127	0.0001557060
128	0.0001556911
129	0.0001556873
130	0.0001556054
131	0.0001558550
132	0.0001557209
133	0.0001557954
134	0.0001557171
135	0.0001557320
136	0.0001557395
137	0.0001557246
138	0.0001557544
139	0.0001556501
140	0.0001557581
141	0.0001556575
142	0.0001557581
143	0.0001556426
144	0.0001558587
145	0.0001557730
146	0.0001558140
147	0.0001556203
148	0.0001556501
149	0.0001557767
150	0.0001556464
151	0.0001557320
152	0.0001557879
153	0.0001556985
154	0.0001556128
155	0.0001556240
156	0.0001556911
157	0.0001556911
158	0.0001556650
159	0.0001557060
160	0.0001557507
161	0.0001556650
162	0.0001557358
163	0.0001557544
164	0.0001556911
165	0.0001556277
166	0.0001556575
167	0.0001556873
168	0.0001556687
169	0.0001557879
170	0.0001557693
171	0.0001557767
172	0.0001557581
173	0.0001556948
174	0.0001555793
175	0.0001557656
176	0.0001557246
177	0.0001556948
178	0.0001556985
179	0.0001558215
180	0.0001558475
181	0.0001557991
182	0.0001557134
183	0.0001557842
184	0.0001557507
185	0.0001556575
186	0.0001557954
187	0.0001557171
188	0.0001556464
189	0.0001556464
190	0.0001557469
191	0.0001557358
192	0.0001557693
193	0.0001557842
194	0.0001556873
195	0.0001557544
196	0.0001557507
197	0.0001556464
198	0.0001557879
199	0.0001557283
200	0.0001557842
201	0.0001557246
202	0.0001557544
203	0.0001556650
204	0.0001558028
205	0.0001556724
206	0.0001557954
207	0.0001557060
208	0.0001557395
209	0.0001557097
210	0.0001557320
211	0.0001556948
212	0.0001557395
213	0.0001556948
214	0.0001557432
215	0.0001556128
216	0.0001557283
217	0.0001557879
218	0.0001556911
219	0.0001556091
220	0.0001557320
221	0.0001556836
222	0.0001556836
223	0.0001557246
224	0.0001556128
225	0.0001557507
226	0.0001558103
227	0.0001558364
228	0.0001557507
229	0.0001555979
230	0.0001558028
231	0.0001557656
232	0.0001557693
233	0.0001557544
234	0.0001556575
235	0.0001556762
236	0.0001555756
237	0.0001557320
238	0.0001558475
239	0.0001557693
240	0.0001557842
241	0.0001557581
242	0.0001557991
243	0.0001557618
244	0.0001557246
245	0.0001556017
246	0.0001556315
247	0.0001557171
248	0.0001556650
249	0.0001555942
250	0.0001557581
251	0.0001557842
252	0.0001558066
253	0.0001556501
254	0.0001557730
255	0.0001556277
256	0.0001557134
257	0.0001557618
258	0.0001557171
259	0.0001557507
260	0.0001557767
261	0.0001556873
262	0.0001557469
263	0.0001556985
264	0.0001558028
265	0.0001556389
266	0.0001556575
267	0.0001556426
268	0.0001557320
269	0.0001557022
270	0.0001557842
271	0.0001557656
272	0.0001557469
273	0.0001558028
274	0.0001557693
275	0.0001557395
276	0.0001556873
277	0.0001558140
278	0.0001557171
279	0.0001557320
280	0.0001558028
281	0.0001556948
282	0.0001557283
283	0.0001557581
284	0.0001557693
