    °„C	        No	    CH0	            CH1	            CH2	            CH3
21.664	53	0.1142948934	2347.8329985042	0.4909266526	-0.1820203174
21.668	54	0.1142965623	2347.8355018995	0.4909267718	-0.1823835482
21.660	55	0.1142931053	2347.8392569923	0.4909260566	-0.1827432026
21.655	56	0.1142909595	2347.8336243530	0.4909247453	-0.1830991616
21.649	57	0.1142885753	2347.8473930268	0.4909255797	-0.1834566703
21.654	58	0.1142908403	2347.8455154804	0.4909255797	-0.1838120332
21.648	59	0.1142880985	2347.8436379339	0.4909256989	-0.1841646543
21.657	60	0.1142920324	2347.8467671780	0.4909259374	-0.1845175138
21.648	61	0.1142884561	2347.8486447244	0.4909267718	-0.1848591676
21.650	62	0.1142890521	2347.8498964220	0.4909270102	-0.1852108351
21.650	63	0.1142891714	2347.8461413292	0.4909271294	-0.1855640522
21.648	64	0.1142882177	2347.8561549101	0.4909254605	-0.1859108320
21.650	65	0.1142892906	2347.8561549101	0.4909258181	-0.1862630955
21.651	66	0.1142896482	2347.8517739684	0.4909273679	-0.1866035573
21.646	67	0.1142873832	2347.8567807589	0.4909271294	-0.1869365088
21.648	68	0.1142882177	2347.8561549101	0.4909267718	-0.1872736327
21.651	69	0.1142894098	2347.8630392470	0.4909267718	-0.1876144521
21.646	70	0.1142875024	2347.8661684910	0.4909262950	-0.1879536025
21.646	71	0.1142873832	2347.8686718862	0.4909280831	-0.1882890575
21.641	72	0.1142854759	2347.8680460374	0.4909268910	-0.1886394136
21.641	73	0.1142854759	2347.8636650958	0.4909280831	-0.1889765375
21.640	74	0.1142849990	2347.8448896316	0.4909261758	-0.1893105620
21.644	75	0.1142864295	2347.8085904007	0.4909258181	-0.1896311158
21.641	76	0.1142852374	2347.7685360771	0.4909265334	-0.1899538153
21.642	77	0.1142857143	2347.7028219523	0.4909245068	-0.1902766341
21.641	78	0.1142854759	2347.6314751882	0.4909245068	-0.1905955190
21.637	79	0.1142836877	2347.5463597504	0.4909234340	-0.1909120197
21.636	80	0.1142833301	2347.4543599757	0.4909240300	-0.1912322158
21.630	81	0.1142810651	2347.3517207713	0.4909215266	-0.1915516968
21.635	82	0.1142829725	2347.2403196836	0.4909210498	-0.1918704624
21.632	83	0.1142815420	2347.1201567125	0.4909195000	-0.1921882744
21.634	84	0.1142826148	2346.9924835558	0.4909167582	-0.1925077553
21.641	85	0.1142855951	2346.8604294575	0.4909168774	-0.1928204413
21.644	86	0.1142865488	2346.7177359294	0.4909135396	-0.1931330081
21.641	87	0.1142854759	2346.5681580644	0.4909116322	-0.1934356805
21.642	88	0.1142859527	2346.4085666185	0.4909110362	-0.1937378760
21.639	89	0.1142847606	2346.2445942309	0.4909076983	-0.1940442439
21.643	90	0.1142861911	2346.0681048672	0.4909084136	-0.1943516847
21.644	91	0.1142865488	2345.8891121083	0.4909034068	-0.1946590063
21.649	92	0.1142888137	2345.6976023732	0.4909006650	-0.1949646589
21.648	93	0.1142884561	2345.4992083013	0.4908968503	-0.1952619669
21.648	94	0.1142883369	2345.2945557412	0.4908967311	-0.1955663082
21.648	95	0.1142880985	2345.0792637515	0.4908916051	-0.1958660004
21.655	96	0.1142909595	2344.8633459129	0.4908869559	-0.1961597321
21.659	97	0.1142927476	2344.6242716685	0.4908836180	-0.1964494107
21.656	98	0.1142915555	2344.3927076097	0.4908808762	-0.1967531560
21.651	99	0.1142896482	2344.1448714819	0.4908767039	-0.1970561860
21.654	100	0.1142908403	2343.8888993197	0.4908716971	-0.1973482488
21.655	101	0.1142913171	2343.6229135765	0.4908653790	-0.1976370929
21.653	102	0.1142902442	2343.3112408704	0.4908614451	-0.1979255794
21.663	103	0.1142945358	2342.9244663074	0.4908572728	-0.1982172846
21.669	104	0.1142970392	2342.4613381899	0.4908511931	-0.1984979033
21.674	105	0.1142989465	2341.9387544357	0.4908445174	-0.1987668394
21.672	106	0.1142982313	2341.3942659732	0.4908366496	-0.1990471005
21.676	107	0.1142997810	2340.8328795929	0.4908297354	-0.1993203282
21.682	108	0.1143021652	2340.2877652817	0.4908222253	-0.1996046424
21.691	109	0.1143058607	2339.7457802144	0.4908154303	-0.1999057651
21.694	110	0.1143071720	2339.2075502400	0.4908048207	-0.2001745820
21.696	111	0.1143080064	2338.6843406370	0.4907961184	-0.2004699827
21.704	112	0.1143109867	2338.1529949995	0.4907857472	-0.2007472635
21.711	113	0.1143142053	2337.6203976643	0.4907776410	-0.2010238290
21.717	114	0.1143165895	2337.0834193875	0.4907669121	-0.2012926460
21.718	115	0.1143170663	2336.5414343203	0.4907582099	-0.2015631319
21.730	116	0.1143219539	2335.9919390674	0.4907460505	-0.2018324257
21.733	117	0.1143230268	2335.4318043847	0.4907372290	-0.2021106602
21.748	118	0.1143292257	2334.8635336675	0.4907245928	-0.2023869874
21.746	119	0.1143285104	2334.2908820087	0.4907121951	-0.2026620032
21.753	120	0.1143312522	2333.7063392226	0.4907028968	-0.2029396417
21.757	121	0.1143328020	2333.1099053091	0.4906899029	-0.2032107236
21.763	122	0.1143353054	2332.5015802682	0.4906792933	-0.2034827592
21.771	123	0.1143385240	2331.8907518322	0.4906659419	-0.2037499072
21.770	124	0.1143381664	2331.2686581176	0.4906525904	-0.2040200355
21.781	125	0.1143426963	2330.6277889387	0.4906404311	-0.2042847994
21.791	126	0.1143468687	2329.9875456087	0.4906264836	-0.2045391920
21.791	127	0.1143469879	2329.3341594538	0.4906140858	-0.2047919157
21.796	128	0.1143488952	2328.6707597179	0.4906001383	-0.2050398710
21.805	129	0.1143524715	2327.9992239475	0.4905863101	-0.2053083304
21.809	130	0.1143540212	2327.3139195033	0.4905709321	-0.2055670145
21.819	131	0.1143584320	2326.6273633616	0.4905571038	-0.2058258179
21.821	132	0.1143591472	2325.9245351508	0.4905414874	-0.2060833100
21.826	133	0.1143612930	2325.2154484520	0.4905264670	-0.2063400868
21.829	134	0.1143624851	2324.5007291139	0.4905106122	-0.2065899495
21.833	135	0.1143640348	2323.7716152532	0.4904954726	-0.2068431501
21.843	136	0.1143682071	2323.0412496949	0.4904806906	-0.2070956354
21.850	137	0.1143708297	2322.2977413117	0.4904637629	-0.2073439483
21.858	138	0.1143741676	2321.5479744403	0.4904489810	-0.2075914268
21.860	139	0.1143748828	2320.7957041738	0.4904325301	-0.2078355675
21.863	140	0.1143761941	2320.0271618382	0.4904157216	-0.2080830460
21.875	141	0.1143813201	2319.2548644099	0.4903978402	-0.2083255177
21.882	142	0.1143839427	2318.4756826446	0.4903818661	-0.2085709696
21.889	143	0.1143870422	2317.6864872984	0.4903633887	-0.2088127261
21.900	144	0.1143913337	2316.8828974296	0.4903488451	-0.2090554362
21.909	145	0.1143949100	2316.0861918978	0.4903300101	-0.2092981463
21.917	146	0.1143982479	2315.2775952385	0.4903110558	-0.2095366841
21.926	147	0.1144020626	2314.4589849984	0.4902918631	-0.2097636586
21.932	148	0.1144044467	2313.6328645726	0.4902767235	-0.2099959975
21.941	149	0.1144082614	2312.8067441467	0.4902583653	-0.2102307207
21.949	150	0.1144114801	2311.9649775007	0.4902385765	-0.2104641325
21.955	151	0.1144139835	2311.1219591571	0.4902195031	-0.2106962330
21.960	152	0.1144160100	2310.2751857206	0.4901998335	-0.2109280950
21.968	153	0.1144193479	2309.4108885176	0.4901821905	-0.2111615068
21.975	154	0.1144220897	2308.5534756514	0.4901612097	-0.2113900311
21.981	155	0.1144245931	2307.6835458090	0.4901417786	-0.2116196282
21.992	156	0.1144290039	2306.8086091762	0.4901240164	-0.2118438609
22.001	157	0.1144326993	2305.9236589625	0.4901010090	-0.2120683320
22.004	158	0.1144341299	2305.0330761095	0.4900809819	-0.2122922070
22.009	159	0.1144359180	2304.1362347684	0.4900605971	-0.2125177510
22.022	160	0.1144414016	2303.2337607881	0.4900405699	-0.2127405532
22.030	161	0.1144446203	2302.3319126565	0.4900197083	-0.2129622825
22.036	162	0.1144471237	2301.4206767929	0.4899992043	-0.2131824620
22.053	163	0.1144541570	2300.5031824412	0.4899791771	-0.2134038337
22.056	164	0.1144552299	2299.5781779038	0.4899560505	-0.2136216291
22.071	165	0.1144615480	2298.6456631807	0.4899373347	-0.2138390669
22.077	166	0.1144636938	2297.7150260040	0.4899152809	-0.2140511402
22.087	167	0.1144678661	2296.7737493976	0.4898914391	-0.2142652401
22.092	168	0.1144698926	2295.8299693960	0.4898726040	-0.2144783863
22.105	169	0.1144752571	2294.8793050575	0.4898501927	-0.2146874794
22.115	170	0.1144791910	2293.9205046845	0.4898251587	-0.2149015793
22.119	171	0.1144808599	2292.9654594043	0.4898048931	-0.2151134142
22.126	172	0.1144837209	2292.0004005432	0.4897820049	-0.2153284678
22.138	173	0.1144886085	2291.0315865893	0.4897576862	-0.2155416140
22.142	174	0.1144903966	2290.0496298104	0.4897367054	-0.2157513032
22.147	175	0.1144923040	2289.0720539732	0.4897140556	-0.2159576545
22.156	176	0.1144961187	2288.0869679503	0.4896899754	-0.2161635289
22.170	177	0.1145019599	2287.0993785321	0.4896679216	-0.2163704763
22.183	178	0.1145073244	2286.1024013819	0.4896451527	-0.2165730129
22.187	179	0.1145089933	2285.1016691388	0.4896205956	-0.2167754302
22.195	180	0.1145120927	2284.0934267100	0.4895955616	-0.2169774900
22.211	181	0.1145186493	2283.0845584324	0.4895720774	-0.2171754966
22.217	182	0.1145212719	2282.0669282715	0.4895494276	-0.2173754106
22.221	183	0.1145227024	2281.0486722618	0.4895248705	-0.2175736557
22.231	184	0.1145268747	2280.0316679497	0.4895010286	-0.2177730929
22.240	185	0.1145303318	2278.9983915686	0.4894740873	-0.2179738413
22.250	186	0.1145347425	2277.9694961291	0.4894503647	-0.2181667219
22.260	187	0.1145386764	2276.9324646552	0.4894249731	-0.2183373105
22.277	188	0.1145458290	2275.8891746932	0.4894005352	-0.2184953820
22.284	189	0.1145483324	2274.8440071847	0.4893760973	-0.2186555993
22.293	190	0.1145523855	2273.7963362811	0.4893527323	-0.2188129555
22.305	191	0.1145571539	2272.7430327382	0.4893280559	-0.2189788949
22.318	192	0.1145622799	2271.6834707071	0.4893027836	-0.2191375625
22.322	193	0.1145639488	2270.6239086761	0.4892777496	-0.2192872893
22.330	194	0.1145675251	2269.5580881571	0.4892506891	-0.2195381057
22.350	195	0.1145753929	2268.4910159404	0.4892242246	-0.2197017801
22.361	196	0.1145799228	2267.4151818404	0.4892006212	-0.2199059856
22.366	197	0.1145820686	2266.3449803796	0.4891720110	-0.2199781072
22.377	198	0.1145867178	2265.2616360940	0.4891448312	-0.2201173437
