    °„C	        No	    CH0	            CH1	            CH2	            CH3
21.664	53	0.1142948934	2347.8329985042	0.4909266526	-0.1820203174
23.566	295	0.1150728533	2148.1321542342	0.4861471943	-0.2339668413
25.383	422	0.1158158848	1985.9659663419	0.4815552522	-0.2426018860
27.468	563	0.1166681121	1820.5253374890	0.4763418720	-0.2457296995
29.325	694	0.1174264024	1686.7945901629	0.4716905637	-0.2456613925
31.543	864	0.1183319162	1542.7930380579	0.4661413709	-0.2430182840
33.525	1039	0.1191405129	1424.7060075227	0.4611085928	-0.2394069576
35.583	1252	0.1199795079	1310.8084089046	0.4557485852	-0.2360836408
37.577	1502	0.1207919193	1208.9239781454	0.4504488975	-0.2306788105
39.589	1833	0.1216108871	1110.7927626844	0.4447938469	-0.2269269363
41.610	2354	0.1224334313	1011.8648416915	0.4384173416	-0.2216179503
43.648	3605	0.1232624127	894.7297271925	0.4298614520	-0.2130003102
45.630	3722	0.1240677908	828.9936977025	0.4250972524	-0.2118910677
47.612	3793	0.1248730495	770.3022223891	0.4201131117	-0.2113223202
49.684	3860	0.1257141903	714.0959926901	0.4147770652	-0.2108588344
51.628	3920	0.1265029983	666.5959457514	0.4097991234	-0.2104940540
53.610	3982	0.1273065881	621.7188311648	0.4046502355	-0.2100802785
55.786	4052	0.1281881409	576.5682206493	0.3989624023	-0.2096624499
57.760	4118	0.1289875584	539.1311966855	0.3937976595	-0.2092845565
59.608	4183	0.1297355968	506.6659156481	0.3889388078	-0.2088263159
61.615	4258	0.1305472929	474.0391656184	0.3836404314	-0.2081949835
63.686	4342	0.1313847382	442.7335824212	0.3781050669	-0.2077790623
65.662	4429	0.1321827252	415.1574322675	0.3728039487	-0.2074563627
67.663	4526	0.1329909642	389.1859584562	0.3673905353	-0.2072514419
69.683	4635	0.1338059982	364.7578278040	0.3618717409	-0.2067868833
71.797	4765	0.1346584639	340.8040905478	0.3559875700	-0.2061668757
73.764	4905	0.1354510865	320.1385629260	0.3504663915	-0.2056961182
75.241	5027	0.1360461793	305.4599049962	0.3462653366	-0.2048680904
77.299	5231	0.1368745647	285.9190276813	0.3402618373	-0.2038123729
79.324	5493	0.1376891218	267.4402157927	0.3340918025	-0.2030832889
81.263	5844	0.1384688698	250.3695637208	0.3279034095	-0.2022433401
83.762	6051	0.1394729697	231.9664795379	0.3211565209	-0.2001550317
85.597	6144	0.1402098024	219.7248768642	0.3161149213	-0.1999080300
87.655	6248	0.1410358036	206.8993572533	0.3103286213	-0.1997265935
89.763	6363	0.1418811167	194.8160943279	0.3043986740	-0.1997460246
91.651	6482	0.1426378574	184.5152488062	0.2989516436	-0.1994823336
93.407	6608	0.1433411922	175.5036518278	0.2938528236	-0.1993003010
95.105	6751	0.1440211620	167.1892504209	0.2888412648	-0.1978664516
97.951	7068	0.1451599684	153.9425345625	0.2801697421	-0.1957428572
99.395	7290	0.1457370607	147.5375978671	0.2756331131	-0.1950730202
